PAY ITEM,"CODED PAY ITEMS FOR THE Jan 17, 2020 LETTING DESCRIPTION",UNIT,ABBREVIATION,S
20100110,TREE REMOVAL (6 TO 15 UNITS DIAMETER),UNIT   ,TREE REMOV 6-15,
20100210,TREE REMOVAL (OVER 15 UNITS DIAMETER),UNIT   ,TREE REMOV OVER 15,
20100500,"TREE REMOVAL, ACRES",ACRE   ,TREE REMOV ACRES,
20101000,TEMPORARY FENCE,FOOT   ,TEMPORARY FENCE,
20101100,TREE TRUNK PROTECTION,EACH   ,TREE TRUNK PROTECTION,
20101200,TREE ROOT PRUNING,EACH   ,TREE ROOT PRUNING,
20101300,TREE PRUNING (1 TO 10 INCH DIAMETER),EACH   ,TREE PRUN 1-10,
20101350,TREE PRUNING (OVER 10 INCH DIAMETER),EACH   ,TREE PRUN OVER 10,
20101400,NITROGEN FERTILIZER NUTRIENT,POUND  ,NITROGEN FERT NUTR,
20101500,PHOSPHORUS FERTILIZER NUTRIENT,POUND  ,PHOSPHORUS FERT NUTR,
20101600,POTASSIUM FERTILIZER NUTRIENT,POUND  ,POTASSIUM FERT NUTR,
20101700,SUPPLEMENTAL WATERING,UNIT   ,SUPPLE WATERING,
20200100,EARTH EXCAVATION,CU YD  ,EARTH EXCAVATION,
20200200,ROCK EXCAVATION,CU YD  ,ROCK EXCAVATION,
20200500,EARTH EXCAVATION (WIDENING),CU YD  ,EARTH EXC WID,
20200600,EXCAVATING AND GRADING EXISTING SHOULDER,UNIT   ,EXC & GR EX SHOULDER,
20201200,REMOVAL AND DISPOSAL OF UNSUITABLE MATERIAL,CU YD  ,REM & DISP UNS MATL,
20300100,CHANNEL EXCAVATION,CU YD  ,CHANNEL EXCAVATION,
20300200,ROCK EXCAVATION IN CHANNEL,CU YD  ,ROCK EXCAV CHANNEL,
20400100,BORROW EXCAVATION,CU YD  ,BORROW EXCAVATION,
20400800,FURNISHED EXCAVATION,CU YD  ,FURNISHED EXCAVATION,
20600110,"GRANULAR EMBANKMENT, SPECIAL",TON    ,GRAN EMBANK SPEC,
20600200,"GRANULAR EMBANKMENT, SPECIAL",CU YD  ,GRAN EMBANK SPEC,
20700110,POROUS GRANULAR EMBANKMENT,TON    ,POROUS GRAN EMBANK,
20700220,POROUS GRANULAR EMBANKMENT,CU YD  ,POROUS GRAN EMBANK,
20800150,TRENCH BACKFILL,CU YD  ,TRENCH BACKFILL,
20900110,POROUS GRANULAR BACKFILL,CU YD  ,POROUS GRAN BACKFILL,
21000300,"GRANULAR EMBANKMENT, SPECIAL",TON    ,GRAN EMBANK SPEC,
21000310,"GRANULAR EMBANKMENT, SPECIAL",CU YD  ,GRAN EMBANK SPEC,
21001000,GEOTECHNICAL FABRIC FOR GROUND STABILIZATION,SQ YD  ,GEOTECH FAB F/GR STAB,
21101505,TOPSOIL EXCAVATION AND PLACEMENT,CU YD  ,TOPSOIL EXC & PLAC,
21101600,"TOPSOIL FURNISH AND PLACE,  VARIABLE DEPTH",SQ YD  ,TOPSOIL F & P VAR DP,
21101601,"TOPSOIL FURNISH AND PLACE,  1""",SQ YD  ,TOPSOIL F & P  1,
21101605,"TOPSOIL FURNISH AND PLACE,  2""",SQ YD  ,TOPSOIL F & P  2,
21101610,"TOPSOIL FURNISH AND PLACE,  3""",SQ YD  ,TOPSOIL F & P  3,
21101615,"TOPSOIL FURNISH AND PLACE,  4""",SQ YD  ,TOPSOIL F & P  4,
21101620,"TOPSOIL FURNISH AND PLACE,  5""",SQ YD  ,TOPSOIL F & P  5,
21101625,"TOPSOIL FURNISH AND PLACE,  6""",SQ YD  ,TOPSOIL F & P  6,
21101630,"TOPSOIL FURNISH AND PLACE,  8""",SQ YD  ,TOPSOIL F & P  8,
21101635,"TOPSOIL FURNISH AND PLACE,  9""",SQ YD  ,TOPSOIL F & P  9,
21101640,"TOPSOIL FURNISH AND PLACE, 10""",SQ YD  ,TOPSOIL F & P 10,
21101645,"TOPSOIL FURNISH AND PLACE, 12""",SQ YD  ,TOPSOIL F & P 12,
21101655,"TOPSOIL FURNISH AND PLACE, 14""",SQ YD  ,TOPSOIL F & P 14,
21101665,"TOPSOIL FURNISH AND PLACE, 18""",SQ YD  ,TOPSOIL F & P 18,
21101685,"TOPSOIL FURNISH AND PLACE, 24""",SQ YD  ,TOPSOIL F & P 24,
21101695,"TOPSOIL FURNISH AND PLACE, 30""",SQ YD  ,TOPSOIL F & P 30,
21101800,"COMPOST FURNISH AND PLACE,  1""",SQ YD  ,COMPOST F & P  1,
21101805,"COMPOST FURNISH AND PLACE,  2""",SQ YD  ,COMPOST F & P  2,
21101810,"COMPOST FURNISH AND PLACE,  3""",SQ YD  ,COMPOST F & P  3,
21101815,"COMPOST FURNISH AND PLACE,  4""",SQ YD  ,COMPOST F & P  4,
21101820,"COMPOST FURNISH AND PLACE,  5""",SQ YD  ,COMPOST F & P  5,
21101825,"COMPOST FURNISH AND PLACE,  6""",SQ YD  ,COMPOST F & P  6,
21101835,"COMPOST FURNISH AND PLACE,  8""",SQ YD  ,COMPOST F & P  8,
21101845,"COMPOST FURNISH AND PLACE, 10""",SQ YD  ,COMPOST F & P 10,
21101855,"COMPOST FURNISH AND PLACE, 12""",SQ YD  ,COMPOST F & P 12,
21301048,"EXPLORATION TRENCH 48"" DEPTH",FOOT   ,EXPLOR TRENCH 48,
21301052,"EXPLORATION TRENCH 52"" DEPTH",FOOT   ,EXPLOR TRENCH 52,
21301060,"EXPLORATION TRENCH 60"" DEPTH",FOOT   ,EXPLOR TRENCH 60,
21301072,"EXPLORATION TRENCH 72"" DEPTH",FOOT   ,EXPLOR TRENCH 72,
21301084,"EXPLORATION TRENCH 84"" DEPTH",FOOT   ,EXPLOR TRENCH 84,
21400100,GRADING AND SHAPING DITCHES,FOOT   ,GRADING & SHAP DITCH,
25000100,"SEEDING, CLASS  1",ACRE   ,SEEDING CL  1,
25000110,"SEEDING, CLASS  1A",ACRE   ,SEEDING CL  1A,
25000115,"SEEDING, CLASS  1B",ACRE   ,SEEDING CL  1B,
25000200,"SEEDING, CLASS  2",ACRE   ,SEEDING CL  2,
25000210,"SEEDING, CLASS  2A",ACRE   ,SEEDING CL  2A,
25000300,"SEEDING, CLASS  3",ACRE   ,SEEDING CL  3,
25000305,"SEEDING, CLASS  3A",ACRE   ,SEEDING CL  3A,
25000310,"SEEDING, CLASS  4",ACRE   ,SEEDING CL  4,
25000312,"SEEDING, CLASS  4A",ACRE   ,SEEDING CL  4A,
25000314,"SEEDING, CLASS  4B",ACRE   ,SEEDING CL  4B,
25000320,"SEEDING, CLASS  5",ACRE   ,SEEDING CL  5,
25000322,"SEEDING, CLASS  5A",ACRE   ,SEEDING CL  5A,
25000324,"SEEDING, CLASS  5B",ACRE   ,SEEDING CL  5B,
25000330,"SEEDING, CLASS  6",ACRE   ,SEEDING CL  6,
25000340,"SEEDING, CLASS  6A",ACRE   ,SEEDING CL  6A,
25000350,"SEEDING, CLASS  7",ACRE   ,SEEDING CL  7,
25000400,NITROGEN FERTILIZER NUTRIENT,POUND  ,NITROGEN FERT NUTR,
25000500,PHOSPHORUS FERTILIZER NUTRIENT,POUND  ,PHOSPHORUS FERT NUTR,
25000600,POTASSIUM FERTILIZER NUTRIENT,POUND  ,POTASSIUM FERT NUTR,
25000700,AGRICULTURAL GROUND LIMESTONE,TON    ,AGR GROUND LIMESTONE,
25000750,MOWING,ACRE   ,MOWING,
25000775,SELECTIVE MOWING STAKES,EACH   ,SELECT MOWING STAKES,
25003100,"INTERSEEDING, CLASS  1",ACRE   ,INTERSEED CL  1,
25003110,"INTERSEEDING, CLASS  1A",ACRE   ,INTERSEED CL  1A,
25003115,"INTERSEEDING, CLASS  1B",ACRE   ,INTERSEED CL  1B,
25003200,"INTERSEEDING, CLASS  2",ACRE   ,INTERSEED CL  2,
25003210,"INTERSEEDING, CLASS  2A",ACRE   ,INTERSEED CL  2A,
25003300,"INTERSEEDING, CLASS  3",ACRE   ,INTERSEED CL  3,
25003310,"INTERSEEDING, CLASS  4",ACRE   ,INTERSEED CL  4,
25003312,"INTERSEEDING, CLASS  4A",ACRE   ,INTERSEED CL  4A,
25003314,"INTERSEEDING, CLASS  4B",ACRE   ,INTERSEED CL  4B,
25003320,"INTERSEEDING, CLASS  5",ACRE   ,INTERSEED CL  5,
25003322,"INTERSEEDING, CLASS  5A",ACRE   ,INTERSEED CL  5A,
25003324,"INTERSEEDING, CLASS  5B",ACRE   ,INTERSEED CL  5B,
25003326,"INTERSEEDING, CLASS  5C",ACRE   ,INTERSEED CL  5C,
25003330,"INTERSEEDING, CLASS  6",ACRE   ,INTERSEED CL  6,
25003340,"INTERSEEDING, CLASS  6A",ACRE   ,INTERSEED CL  6A,
25003350,"INTERSEEDING, CLASS  7",ACRE   ,INTERSEED CL  7,
25100105,"MULCH, METHOD 1",ACRE   ,MULCH METHOD 1,
25100115,"MULCH, METHOD 2",ACRE   ,MULCH METHOD 2,
25100125,"MULCH, METHOD 3",ACRE   ,MULCH METHOD 3,
25100127,"MULCH, METHOD 3A",ACRE   ,MULCH METHOD 3A,
25100135,"MULCH, METHOD 4",ACRE   ,MULCH METHOD 4,
25100630,EROSION CONTROL BLANKET,SQ YD  ,EROSION CONTR BLANKET,
25100635,HEAVY DUTY EROSION CONTROL BLANKET,SQ YD  ,HD EROS CONTR BLANKET,
25100900,TURF REINFORCEMENT MAT,SQ YD  ,TURF REINF MAT,
25200100,SODDING,SQ YD  ,SODDING,
25200110,"SODDING, SALT TOLERANT",SQ YD  ,SODDING SALT TOLERANT,
25200200,SUPPLEMENTAL WATERING,UNIT   ,SUPPLE WATERING,
25301800,SEEDLINGS,UNIT   ,SEEDLINGS,
25400200,SELECTIVE MOWING STAKES,EACH   ,SELECT MOWING STAKES,
